text_id,miss_count
1,4
2,7
3,10
4,7
5,5
6,8
7,2
8,8
9,5
10,3
11,6
12,5
13,7
14,9
15,3
16,6
17,9
18,9
19,8
20,3
21,5
22,4
23,2
24,6
25,5
26,10
27,5
28,6
29,4
30,1
31,4
32,5
33,9
34,4
35,7
36,6
37,4
38,6
39,5
40,6
41,5
42,6
43,6
44,6
45,6
46,8
47,5
48,4
49,9
50,7
51,8
52,6
53,6
54,5
55,2
56,3
57,5
58,6
59,5
60,5
61,5
62,7
63,4
64,8
65,6
66,3
67,6
68,5
69,7
70,4
71,5
72,5
73,7
74,6
75,5
76,6
77,4
78,4
79,6
80,4
81,5
82,5
83,4
84,3
85,6
86,1
87,6
88,5
89,5
90,6
91,8
92,4
93,5
94,9
95,8
96,5
97,7
98,5
99,7
100,6
