text_id,miss_count
1,2
2,4
3,6
4,2
5,3
6,3
7,1
8,2
9,5
10,3
11,5
12,3
13,3
14,5
15,8
16,4
17,2
18,5
19,2
20,4
21,2
22,3
23,3
24,7
25,2
26,2
27,4
28,4
29,3
30,14
31,15
32,21
33,16
34,15
35,19
36,14
37,15
38,17
39,12
40,12
41,5
42,4
43,9
44,4
45,6
46,3
47,5
48,4
49,4
50,2
51,4
52,4
53,3
54,4
55,2
56,6
57,4
58,3
59,3
60,3
61,5
62,5
63,2
64,3
65,4
66,3
67,5
68,2
69,5
70,1
71,8
72,2
73,1
74,2
75,4
76,2
77,4
78,4
79,4
80,5
81,4
82,8
83,3
84,6
85,5
86,4
87,3
88,5
89,2
90,2
91,3
92,2
93,3
94,1
95,1
96,1
97,6
98,4
99,1
100,5
