text_id,miss_count
1,5
2,5
3,4
4,8
5,3
6,4
7,5
8,5
9,0
10,3
11,5
12,4
13,5
14,3
15,4
16,2
17,10
18,4
19,3
20,8
21,3
22,1
23,3
24,0
25,4
26,4
27,9
28,6
29,1
30,11
31,18
32,1
33,22
34,17
35,3
36,1
37,18
38,5
39,2
40,17
41,2
42,0
43,5
44,1
45,1
46,4
47,1
48,3
49,3
50,6
51,5
52,6
53,1
54,6
55,5
56,6
57,3
58,5
59,3
60,4
61,2
62,5
63,6
64,6
65,5
66,3
67,3
68,3
69,3
70,4
71,1
72,6
73,7
74,2
75,3
76,2
77,2
78,4
79,4
80,3
81,4
82,0
83,5
84,3
85,4
86,7
87,3
88,3
89,2
90,7
91,4
92,2
93,4
94,2
95,2
96,3
97,4
98,0
99,5
100,5
