text_id,miss_count
1,5
2,4
3,3
4,8
5,3
6,6
7,6
8,2
9,6
10,4
11,5
12,9
13,8
14,7
15,5
16,2
17,8
18,2
19,8
20,6
21,4
22,7
23,7
24,5
25,7
26,3
27,3
28,7
29,4
30,7
31,8
32,7
33,8
34,4
35,4
36,4
37,1
38,12
39,6
40,7
41,2
42,9
43,8
44,2
45,4
46,4
47,12
48,4
49,3
50,3
51,2
52,4
53,4
54,9
55,7
56,8
57,3
58,3
59,5
60,7
61,1
62,8
63,4
64,3
65,5
66,7
67,8
68,3
69,8
70,7
71,5
72,5
73,5
74,2
75,4
76,5
77,7
78,6
79,6
80,7
81,7
82,5
83,6
84,3
85,7
86,6
87,5
88,9
89,5
90,4
91,1
92,2
93,6
94,4
95,10
96,6
97,11
98,7
99,9
100,2
