text_id,miss_count
1,3
2,8
3,4
4,3
5,4
6,3
7,1
8,4
9,2
10,7
11,2
12,4
13,4
14,2
15,4
16,3
17,4
18,2
19,2
20,2
21,4
22,2
23,2
24,3
25,5
26,2
27,7
28,3
29,6
30,17
31,17
32,14
33,15
34,13
35,17
36,13
37,14
38,12
39,14
40,19
41,3
42,3
43,2
44,4
45,3
46,2
47,5
48,2
49,4
50,3
51,5
52,1
53,8
54,6
55,5
56,1
57,2
58,9
59,2
60,5
61,4
62,3
63,2
64,6
65,4
66,4
67,8
68,4
69,5
70,2
71,5
72,2
73,2
74,3
75,1
76,5
77,6
78,4
79,1
80,7
81,2
82,2
83,2
84,3
85,3
86,4
87,5
88,6
89,3
90,3
91,4
92,2
93,6
94,1
95,3
96,5
97,1
98,4
99,5
100,2
